id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
28118,52,2,96,13.68109989,100.7470016,5.0,0,0,0,0,0,10,3,1,11,2,1,0,36,2,11,2009-01-29T10:23:22.000-06:00
26638,44,2,12,13.91259956,100.6070023,9.0,0,0,0,0,0,10,3,1,2,7,1,8,7,4,2,2014-01-27T05:03:44.000-06:00
26674,91,2,73,8.1132,98.316902,82.0,0,0,0,32,46,83,44,1,49,11,1,0,28,2,3,2017-04-28T14:11:13.000-05:00
26647,57,2,10,18.76679993,98.96260071,1036.0,0,0,0,4,24,50,6,1,16,6,1,0,4,2,3,2010-09-01T14:15:28.000-05:00
26672,89,3,87,9.54779,100.061996,64.0,0,0,0,46,47,84,30,1,47,42,1,3,32,2,12,2022-11-14T03:24:10.000-06:00
26669,86,3,36,8.09912014,98.98619843,82.0,0,0,0,11,45,81,23,1,44,12,1,0,13,2,12,2010-09-01T14:17:14.000-05:00
26676,93,3,15,6.933209896,100.3929977,90.0,0,0,0,43,50,90,10,1,51,8,1,0,8,2,12,2010-09-02T15:40:57.000-05:00
26645,54,3,103,12.67990017,101.0049973,42.0,0,0,0,37,5,21,51,1,13,44,1,7,40,8,12,2009-03-04T11:46:31.000-06:00
26678,96,3,105,17.38640022,102.788002,579.0,0,0,0,52,18,41,64,1,54,43,1,6,42,2,12,2010-09-02T15:43:32.000-05:00
26653,66,3,45,19.952299,99.882896,1280.0,0,0,0,5,31,57,7,1,24,4,1,0,5,2,12,2021-06-02T12:32:22.000-05:00
26665,82,3,94,9.132599831,99.13559723,20.0,0,0,0,46,47,84,57,1,40,41,1,0,34,2,12,2010-09-02T09:54:23.000-05:00
26648,58,3,46,19.30130005,97.97579956,929.0,0,0,0,16,32,58,28,1,17,9,1,0,17,2,12,2008-06-13T09:30:04.000-05:00
26661,76,3,69,16.78289986,100.2789993,154.0,0,0,0,30,36,65,28,1,34,26,1,0,27,2,12,2008-06-13T09:30:04.000-05:00
26658,73,3,48,16.69989967,98.54509735,690.0,0,0,0,48,34,63,28,1,31,19,1,0,18,2,12,2008-06-13T09:30:04.000-05:00
26660,75,3,92,17.23800087,99.81819916,179.0,0,0,0,44,35,64,28,1,33,35,1,0,33,2,12,2008-06-13T09:30:04.000-05:00
26687,105,3,104,15.25129986,104.8700027,406.0,0,0,0,51,15,34,63,1,63,39,1,0,41,2,12,2010-09-02T15:42:35.000-05:00
32595,53,4,1,13.232426,100.956802,90.0,0,0,0,6,4,20,1,0,12,20,1,4,0,2,9,2022-12-24T12:45:27.000-06:00
26655,70,3,17,12.63619995,99.95149994,62.0,0,0,0,29,42,76,11,1,28,10,1,0,9,2,12,2010-02-21T08:25:46.000-06:00
26681,99,3,26,16.46660042,102.7839966,670.0,0,0,0,10,17,40,19,1,57,14,1,0,10,2,12,2010-09-02T15:42:03.000-05:00
26677,94,3,101,7.50874,99.6166,67.0,0,0,0,49,52,92,62,1,52,38,1,0,38,2,12,2021-01-21T09:40:17.000-06:00
26643,50,3,102,12.2746,102.319,105.0,0,0,0,50,7,23,25,1,9,34,1,0,39,2,10,2021-01-21T08:57:59.000-06:00
26683,101,4,27,14.9345,102.079002,729.0,0,0,0,19,12,30,33,0,59,20,1,0,12,1,9,2021-01-21T09:01:54.000-06:00
32597,59,4,62,19.372,98.436996,1676.0,0,0,0,16,32,58,37,0,18,30,1,0,1,6,9,2022-12-24T12:49:09.000-06:00
26689,107,3,49,17.383801,104.642998,587.0,0,0,0,18,23,48,32,1,65,16,1,0,19,2,12,2022-11-10T08:31:28.000-06:00
26667,84,3,11,10.7112,99.361702,18.0,0,0,0,7,49,86,8,1,42,5,1,0,6,2,10,2022-06-06T00:32:33.000-05:00
26685,103,3,50,14.9495,102.313004,765.0,0,0,0,19,12,30,5,0,61,21,1,0,20,2,8,2021-01-21T09:01:17.000-06:00
26656,71,3,99,15.27729988,100.2959976,107.0,0,0,0,20,33,60,28,0,29,36,1,0,37,2,7,2012-06-20T17:11:51.000-05:00
302324,1,4,14,12.902439,100.933227,160.0,0,0,0,6,4,20,39,0,0,20,0,5,0,0,9,2022-09-04T08:15:01.000-05:00
32602,77,4,70,13.66860008,99.73139954,88.0,0,0,0,36,38,70,43,0,35,20,1,0,0,2,9,2008-08-03T06:51:34.000-05:00
26682,100,3,44,17.43910027,101.7220001,860.0,0,0,0,14,19,42,28,1,58,17,1,0,16,2,12,2008-06-13T09:30:04.000-05:00
26688,106,3,82,16.11680031,103.7740021,451.0,0,0,0,38,20,45,28,1,64,31,1,0,30,2,12,2008-06-13T09:30:04.000-05:00
26679,97,3,86,17.19510078,104.1190033,529.0,0,0,0,40,22,47,28,1,55,33,1,0,31,2,12,2008-06-13T09:30:04.000-05:00
26649,60,3,38,18.27090073,99.5042038,811.0,0,0,0,12,26,52,28,1,19,18,1,0,14,2,12,2008-06-13T09:30:04.000-05:00
26650,61,3,54,18.80789948,100.7829971,685.0,0,0,0,22,29,55,28,1,20,23,1,0,22,2,12,2008-06-13T09:30:04.000-05:00
26668,85,3,52,8.539620399,99.94470215,13.0,0,0,0,21,44,80,34,1,43,24,1,0,21,11,4,
26675,92,3,78,9.77762,98.585503,57.0,0,0,0,35,48,85,48,1,50,40,1,0,29,2,12,2022-08-03T08:22:16.000-05:00
26654,69,3,68,16.6760006,101.1949997,450.0,0,0,0,28,37,67,28,1,27,27,1,0,26,2,10,2012-03-11T05:12:51.000-05:00
26662,78,3,98,16.89599991,99.25330353,478.0,0,0,0,48,34,63,28,0,36,37,1,0,0,2,6,2008-06-13T09:30:04.000-05:00
26642,48,3,25,14.87460041,100.663002,123.0,0,0,0,15,3,16,28,0,7,20,1,0,0,2,5,2012-11-22T02:35:29.000-06:00
308758,3,4,32,14.114705,100.949485,15.0,0,0,0,17,10,26,28,0,0,20,1,0,0,2,9,2022-09-04T08:37:20.000-05:00
354704,24,4,108,13.94495,102.00432,10.0,0,0,0,39,11,27,28,0,0,20,1,0,0,2,9,2022-05-30T02:11:06.000-05:00
354711,67,4,56,18.6762,99.11157,10.0,0,0,0,4,24,50,28,0,25,20,1,1,0,2,9,2022-05-30T02:34:35.000-05:00
339378,6,4,100,13.94571,100.57441,10.0,0,0,0,0,0,10,9,0,0,20,1,0,0,2,9,2021-10-13T18:54:39.000-05:00
354707,25,4,13,12.6714,101.5476,10.0,0,0,0,37,5,21,20,0,0,20,1,0,0,2,9,2022-09-04T08:55:02.000-05:00
339968,13,4,33,13.3938,101.32055,10.0,0,0,0,6,4,20,21,0,0,20,1,0,0,2,9,2022-09-04T08:53:24.000-05:00
