year,source,net_generation
2001-01-01,Fossil Fuels,35361
2002-01-01,Fossil Fuels,35991
2003-01-01,Fossil Fuels,36234
2004-01-01,Fossil Fuels,36205
2005-01-01,Fossil Fuels,36883
2006-01-01,Fossil Fuels,37014
2007-01-01,Fossil Fuels,41389
2008-01-01,Fossil Fuels,42734
2009-01-01,Fossil Fuels,38620
2010-01-01,Fossil Fuels,42750
2011-01-01,Fossil Fuels,39361
2012-01-01,Fossil Fuels,37379
2013-01-01,Fossil Fuels,34873
2014-01-01,Fossil Fuels,35250
2015-01-01,Fossil Fuels,32319
2016-01-01,Fossil Fuels,28437
2017-01-01,Fossil Fuels,29329
2001-01-01,Nuclear Energy,3853
2002-01-01,Nuclear Energy,4574
2003-01-01,Nuclear Energy,3988
2004-01-01,Nuclear Energy,4929
2005-01-01,Nuclear Energy,4538
2006-01-01,Nuclear Energy,5095
2007-01-01,Nuclear Energy,4519
2008-01-01,Nuclear Energy,5282
2009-01-01,Nuclear Energy,4679
2010-01-01,Nuclear Energy,4451
2011-01-01,Nuclear Energy,5215
2012-01-01,Nuclear Energy,4347
2013-01-01,Nuclear Energy,5321
2014-01-01,Nuclear Energy,4152
2015-01-01,Nuclear Energy,5243
2016-01-01,Nuclear Energy,4703
2017-01-01,Nuclear Energy,5214
2001-01-01,Renewables,1437
2002-01-01,Renewables,1963
2003-01-01,Renewables,1885
2004-01-01,Renewables,2102
2005-01-01,Renewables,2724
2006-01-01,Renewables,3364
2007-01-01,Renewables,3870
2008-01-01,Renewables,5070
2009-01-01,Renewables,8560
2010-01-01,Renewables,10308
2011-01-01,Renewables,11795
2012-01-01,Renewables,14949
2013-01-01,Renewables,16476
2014-01-01,Renewables,17452
2015-01-01,Renewables,19091
2016-01-01,Renewables,21241
2017-01-01,Renewables,21933
