"year","name","percent","sex"
1880,"John",0.081541,"boy"
1880,"William",0.080511,"boy"
1880,"James",0.050057,"boy"
1880,"Charles",0.045167,"boy"
1880,"George",0.043292,"boy"
1880,"Frank",0.02738,"boy"
1880,"Joseph",0.022229,"boy"
1880,"Thomas",0.021401,"boy"
1880,"Henry",0.020641,"boy"
1880,"Robert",0.020404,"boy"
1880,"Edward",0.019965,"boy"
1880,"Harry",0.018175,"boy"
1880,"Walter",0.014822,"boy"
1880,"Arthur",0.013504,"boy"
1880,"Fred",0.013251,"boy"
1880,"Albert",0.012609,"boy"
1880,"Samuel",0.008648,"boy"
1880,"David",0.007339,"boy"
1880,"Louis",0.006993,"boy"
1880,"Joe",0.006174,"boy"
1880,"Charlie",0.006165,"boy"
1880,"Clarence",0.006165,"boy"
1880,"Richard",0.006148,"boy"
1880,"Andrew",0.005439,"boy"
1880,"Daniel",0.00543,"boy"
1880,"Ernest",0.005194,"boy"
1880,"Will",0.004966,"boy"
1880,"Jesse",0.004805,"boy"
1880,"Oscar",0.004594,"boy"
1880,"Lewis",0.004366,"boy"
1880,"Peter",0.004189,"boy"
1880,"Benjamin",0.004138,"boy"
1880,"Frederick",0.004079,"boy"
1880,"Willie",0.00402,"boy"
1880,"Alfred",0.003961,"boy"
1880,"Sam",0.00386,"boy"
1880,"Roy",0.003716,"boy"
1880,"Herbert",0.003581,"boy"
1880,"Jacob",0.003412,"boy"
1880,"Tom",0.00337,"boy"
1880,"Elmer",0.00315,"boy"
1880,"Carl",0.003142,"boy"
1880,"Lee",0.003049,"boy"
1880,"Howard",0.003015,"boy"
1880,"Martin",0.003015,"boy"
1880,"Michael",0.00299,"boy"
1880,"Bert",0.002939,"boy"
1880,"Herman",0.002931,"boy"
1880,"Jim",0.002914,"boy"
1880,"Francis",0.002905,"boy"
1880,"Harvey",0.002905,"boy"
1880,"Earl",0.002829,"boy"
1880,"Eugene",0.00277,"boy"
